Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance,Attrition,Age_Group,Distance_Group,HourlyRate_Group,MonthlyIncome_Group,MonthlyRate_Group,DailyRate_Group,PercentSalaryHike_Group
41.0,Travel_Rarely,1102.0,Sales,1.0,College,Life Sciences,Medium,Female,94.0,High,1.0,Sales Executive,Very High,Single,5993.0,19479.0,8.0,Yes,11.0,Excellent,Low,0.0,Bad,Yes,Age_group 4,Distance_1,HourlyRate_5,Income_4,Rate_4,DailyRate_4,PercentSalaryHike_1
49.0,Travel_Frequently,279.0,Research & Development,8.0,Below College,Life Sciences,High,Male,61.0,Medium,2.0,Research Scientist,Medium,Married,5130.0,24907.0,1.0,No,23.0,Outstanding,Very High,3.0,Better,No,Age_group 5,Distance_3,HourlyRate_3,Income_3,Rate_5,DailyRate_1,PercentSalaryHike_5
37.0,Travel_Rarely,1373.0,Research & Development,2.0,College,Other,Very High,Male,92.0,Medium,1.0,Laboratory Technician,High,Single,2090.0,2396.0,6.0,Yes,15.0,Excellent,Medium,3.0,Better,Yes,Age_group 3,Distance_1,HourlyRate_5,Income_1,Rate_1,DailyRate_5,PercentSalaryHike_3
33.0,Travel_Frequently,1392.0,Research & Development,3.0,Master,Life Sciences,Very High,Female,56.0,High,1.0,Research Scientist,Very High,Married,2909.0,23159.0,1.0,Yes,11.0,Excellent,High,3.0,Better,No,Age_group 2,Distance_2,HourlyRate_2,Income_2,Rate_5,DailyRate_5,PercentSalaryHike_1
27.0,Travel_Rarely,591.0,Research & Development,2.0,Below College,Medical,Low,Male,40.0,High,1.0,Laboratory Technician,Medium,Married,3468.0,16632.0,9.0,No,12.0,Excellent,Very High,3.0,Better,No,Age_group 1,Distance_1,HourlyRate_1,Income_2,Rate_4,DailyRate_2,PercentSalaryHike_1
32.0,Travel_Frequently,1005.0,Research & Development,2.0,College,Life Sciences,Very High,Male,79.0,High,1.0,Laboratory Technician,Very High,Single,3068.0,11864.0,0.0,No,13.0,Excellent,High,2.0,Good,No,Age_group 2,Distance_1,HourlyRate_4,Income_2,Rate_3,DailyRate_4,PercentSalaryHike_2
59.0,Travel_Rarely,1324.0,Research & Development,3.0,Bachelor,Medical,High,Female,81.0,Very High,1.0,Laboratory Technician,Low,Married,2670.0,9964.0,4.0,Yes,20.0,Outstanding,Low,3.0,Good,No,Age_group 5,Distance_2,HourlyRate_4,Income_1,Rate_2,DailyRate_5,PercentSalaryHike_5
30.0,Travel_Rarely,1358.0,Research & Development,24.0,Below College,Life Sciences,Very High,Male,67.0,High,1.0,Laboratory Technician,High,Divorced,2693.0,13335.0,1.0,No,22.0,Outstanding,Medium,2.0,Better,No,Age_group 2,Distance_5,HourlyRate_3,Income_1,Rate_3,DailyRate_5,PercentSalaryHike_5
38.0,Travel_Frequently,216.0,Research & Development,23.0,Bachelor,Life Sciences,Very High,Male,44.0,High,3.0,Manufacturing Director,High,Single,9526.0,8787.0,0.0,No,21.0,Outstanding,Medium,2.0,Better,No,Age_group 3,Distance_5,HourlyRate_1,Income_4,Rate_2,DailyRate_1,PercentSalaryHike_5
36.0,Travel_Rarely,1299.0,Research & Development,27.0,Bachelor,Medical,High,Male,94.0,High,2.0,Healthcare Representative,High,Married,5237.0,16577.0,6.0,No,13.0,Excellent,Medium,3.0,Better,No,Age_group 3,Distance_5,HourlyRate_5,Income_3,Rate_3,DailyRate_5,PercentSalaryHike_2
35.0,Travel_Rarely,809.0,Research & Development,16.0,Bachelor,Medical,Low,Male,84.0,Very High,1.0,Laboratory Technician,Medium,Married,2426.0,16479.0,0.0,No,13.0,Excellent,High,5.0,Better,No,Age_group 3,Distance_4,HourlyRate_4,Income_1,Rate_3,DailyRate_3,PercentSalaryHike_2
29.0,Travel_Rarely,153.0,Research & Development,15.0,College,Life Sciences,Very High,Female,49.0,Medium,2.0,Laboratory Technician,High,Single,4193.0,12682.0,0.0,Yes,12.0,Excellent,Very High,3.0,Better,No,Age_group 1,Distance_4,HourlyRate_2,Income_2,Rate_3,DailyRate_1,PercentSalaryHike_1
31.0,Travel_Rarely,670.0,Research & Development,26.0,Below College,Life Sciences,Low,Male,31.0,High,1.0,Research Scientist,High,Divorced,2911.0,15170.0,1.0,No,17.0,Excellent,Very High,1.0,Good,No,Age_group 2,Distance_5,HourlyRate_1,Income_2,Rate_3,DailyRate_3,PercentSalaryHike_4
34.0,Travel_Rarely,1346.0,Research & Development,9.20426409903714,College,Medical,Medium,Male,93.0,High,1.0,Laboratory Technician,Very High,Divorced,2661.0,8758.0,0.0,No,11.0,Excellent,High,2.0,Better,No,Age_group 2,Distance_4,HourlyRate_5,Income_1,Rate_2,DailyRate_5,PercentSalaryHike_1
28.0,Travel_Rarely,103.0,Research & Development,24.0,Bachelor,Life Sciences,High,Male,50.0,Medium,1.0,Laboratory Technician,High,Single,2028.0,12947.0,5.0,Yes,14.0,Excellent,Medium,4.0,Better,Yes,Age_group 1,Distance_5,HourlyRate_2,Income_1,Rate_3,DailyRate_1,PercentSalaryHike_3
29.0,Travel_Rarely,1389.0,Research & Development,21.0,Master,Life Sciences,Medium,Female,51.0,Very High,3.0,Manufacturing Director,Low,Divorced,9980.0,10195.0,1.0,No,11.0,Excellent,High,1.0,Better,No,Age_group 1,Distance_5,HourlyRate_2,Income_5,Rate_2,DailyRate_5,PercentSalaryHike_1
32.0,Travel_Rarely,334.0,Research & Development,5.0,College,Life Sciences,Low,Male,80.0,Very High,1.0,Research Scientist,Medium,Divorced,3298.0,15053.0,0.0,Yes,12.0,Excellent,Very High,5.0,Good,No,Age_group 2,Distance_2,HourlyRate_4,Income_2,Rate_3,DailyRate_1,PercentSalaryHike_1
22.0,Non-Travel,1123.0,Research & Development,16.0,College,Medical,Very High,Male,96.0,Very High,1.0,Laboratory Technician,Very High,Divorced,2935.0,7324.0,1.0,Yes,13.0,Excellent,Medium,2.0,Good,No,Age_group 1,Distance_4,HourlyRate_5,Income_2,Rate_2,DailyRate_4,PercentSalaryHike_2
53.0,Travel_Rarely,1219.0,Sales,2.0,Master,Life Sciences,Low,Female,78.0,Medium,4.0,Manager,Very High,Married,15427.0,22021.0,2.0,No,16.0,Excellent,High,3.0,Better,No,Age_group 5,Distance_1,HourlyRate_4,Income_5,Rate_5,DailyRate_4,PercentSalaryHike_4
38.0,Travel_Rarely,371.0,Research & Development,2.0,Bachelor,Life Sciences,Very High,Male,45.0,High,1.0,Research Scientist,Very High,Single,3944.0,4306.0,5.0,Yes,11.0,Excellent,High,3.0,Better,No,Age_group 3,Distance_1,HourlyRate_1,Income_2,Rate_1,DailyRate_1,PercentSalaryHike_1
24.0,Non-Travel,673.0,Research & Development,11.0,College,Other,Low,Female,96.0,Very High,2.0,Manufacturing Director,High,Divorced,4011.0,8232.0,0.0,No,18.0,Excellent,Very High,5.0,Good,No,Age_group 1,Distance_4,HourlyRate_5,Income_2,Rate_2,DailyRate_3,PercentSalaryHike_4
36.0,Travel_Rarely,1218.0,Sales,9.0,Master,Life Sciences,High,Male,82.0,Medium,1.0,Sales Representative,Low,Single,3407.0,6986.0,7.0,No,23.0,Outstanding,Medium,4.0,Better,Yes,Age_group 3,Distance_3,HourlyRate_4,Income_2,Rate_2,DailyRate_4,PercentSalaryHike_5
